PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"34372327","EEG-Based Emotion Recognition by Convolutional Neural Network with Multi-Scale Kernels","Phan TD, Kim SH, Yang HJ, Lee GS.","Sensors (Basel). 2021 Jul 27;21(15):5092. doi: 10.3390/s21155092.","Phan TD","Sensors (Basel)","2021","2021/08/10","PMC8348713","","10.3390/s21155092"
"28269280","Identification of emotion associated brain functional network with phase locking value","Gonuguntla V, Mallipeddi R, Veluvolu KC.","Annu Int Conf IEEE Eng Med Biol Soc. 2016 Aug;2016:4515-4518. doi: 10.1109/EMBC.2016.7591731.","Gonuguntla V","Annu Int Conf IEEE Eng Med Biol Soc","2016","2017/03/09","","","10.1109/EMBC.2016.7591731"
"30762381","The danger of interpreting detection differences between image categories: A brief comment on ""Mind the snake: Fear detection relies on low spatial frequencies"" (Gomes, Soares, Silva, & Silva, 2018)","Gayet S, Stein T, Peelen MV.","Emotion. 2019 Aug;19(5):928-932. doi: 10.1037/emo0000550. Epub 2019 Feb 14.","Gayet S","Emotion","2019","2019/02/15","","","10.1037/emo0000550"
"26737666","Recognizing emotions from EEG subbands using wavelet analysis","Candra H, Yuwono M, Handojoseno A, Chai R, Su S, Nguyen HT.","Annu Int Conf IEEE Eng Med Biol Soc. 2015;2015:6030-3. doi: 10.1109/EMBC.2015.7319766.","Candra H","Annu Int Conf IEEE Eng Med Biol Soc","2015","2016/01/07","","","10.1109/EMBC.2015.7319766"
"31180879","Task-Oriented Feature-Fused Network With Multivariate Dataset for Joint Face Analysis","Lin X, Wan J, Xie Y, Zhang S, Lin C, Liang Y, Guo G, Li SZ.","IEEE Trans Cybern. 2020 Mar;50(3):1292-1305. doi: 10.1109/TCYB.2019.2917049. Epub 2019 Jun 5.","Lin X","IEEE Trans Cybern","2020","2019/06/11","","","10.1109/TCYB.2019.2917049"
"17584778","Beyond disgust: impaired recognition of negative emotions prior to diagnosis in Huntington's disease","Johnson SA, Stout JC, Solomon AC, Langbehn DR, Aylward EH, Cruce CB, Ross CA, Nance M, Kayson E, Julian-Baros E, Hayden MR, Kieburtz K, Guttman M, Oakes D, Shoulson I, Beglinger L, Duff K, Penziner E, Paulsen JS; Predict-HD Investigators of the Huntington Study Group.","Brain. 2007 Jul;130(Pt 7):1732-44. doi: 10.1093/brain/awm107.","Johnson SA","Brain","2007","2007/06/23","","","10.1093/brain/awm107"
"30149640","Digital Image Tamper Detection Technique Based on Spectrum Analysis of CFA Artifacts","González Fernández E, Sandoval Orozco AL, García Villalba LJ, Hernandez-Castro J.","Sensors (Basel). 2018 Aug 25;18(9):2804. doi: 10.3390/s18092804.","González Fernández E","Sensors (Basel)","2018","2018/08/29","PMC6163339","","10.3390/s18092804"
"25242853","Classification and Weakly Supervised Pain Localization using Multiple Segment Representation","Sikka K, Dhall A, Bartlett MS.","Image Vis Comput. 2014 Oct 1;32(10):659-670. doi: 10.1016/j.imavis.2014.02.008.","Sikka K","Image Vis Comput","2014","2014/09/23","PMC4167371","NIHMS572862","10.1016/j.imavis.2014.02.008"
"21724508","A psychovisual quality metric in free-energy principle","Zhai G, Wu X, Yang X, Lin W, Zhang W.","IEEE Trans Image Process. 2012 Jan;21(1):41-52. doi: 10.1109/TIP.2011.2161092. Epub 2011 Jun 30.","Zhai G","IEEE Trans Image Process","2012","2011/07/05","","","10.1109/TIP.2011.2161092"
"24110691","Feature selection for multimodal emotion recognition in the arousal-valence space","Torres CA, Orozco ÁA, Álvarez MA.","Annu Int Conf IEEE Eng Med Biol Soc. 2013;2013:4330-3. doi: 10.1109/EMBC.2013.6610504.","Torres CA","Annu Int Conf IEEE Eng Med Biol Soc","2013","2013/10/11","","","10.1109/EMBC.2013.6610504"
"34208161","Graph Representation Integrating Signals for Emotion Recognition and Analysis","Zawadzka T, Wierciński T, Meller G, Rock M, Zwierzycki R, Wróbel MR.","Sensors (Basel). 2021 Jun 11;21(12):4035. doi: 10.3390/s21124035.","Zawadzka T","Sensors (Basel)","2021","2021/07/02","PMC8230955","","10.3390/s21124035"
"30892247","Cell-Coupled Long Short-Term Memory With L -Skip Fusion Mechanism for Mood Disorder Detection Through Elicited Audiovisual Features","Su MH, Wu CH, Huang KY, Yang TH.","IEEE Trans Neural Netw Learn Syst. 2020 Jan;31(1):124-135. doi: 10.1109/TNNLS.2019.2899884. Epub 2019 Mar 18.","Su MH","IEEE Trans Neural Netw Learn Syst","2020","2019/03/21","","","10.1109/TNNLS.2019.2899884"
"34221180","Emotionally Informed Hate Speech Detection: A Multi-target Perspective","Chiril P, Pamungkas EW, Benamara F, Moriceau V, Patti V.","Cognit Comput. 2021 Jun 28:1-31. doi: 10.1007/s12559-021-09862-5. Online ahead of print.","Chiril P","Cognit Comput","2021","2021/07/05","PMC8236572","","10.1007/s12559-021-09862-5"
"32048810","Microstructural Anomalies Evaluated by Neurite Orientation Dispersion and Density Imaging Are Related to Deficits in Facial Emotional Recognition via Perceptual-Binding Difficulties in Autism Spectrum Disorder","Yasuno F, Makinodan M, Takahashi M, Matsuoka K, Yoshikawa H, Kitamura S, Ishida R, Kishimoto N, Miyasaka T, Kichikawa K, Kishimoto T.","Autism Res. 2020 May;13(5):729-740. doi: 10.1002/aur.2280. Epub 2020 Feb 12.","Yasuno F","Autism Res","2020","2020/02/13","","","10.1002/aur.2280"
"21803691","A statistical method for 2-D facial landmarking","Dibeklioğlu H, Salah AA, Gevers T.","IEEE Trans Image Process. 2012 Feb;21(2):844-58. doi: 10.1109/TIP.2011.2163162. Epub 2011 Jul 29.","Dibeklioğlu H","IEEE Trans Image Process","2012","2011/08/02","","","10.1109/TIP.2011.2163162"
"31313451","Brain-based ranking of cognitive domains to predict schizophrenia","Karrer TM, Bassett DS, Derntl B, Gruber O, Aleman A, Jardri R, Laird AR, Fox PT, Eickhoff SB, Grisel O, Varoquaux G, Thirion B, Bzdok D.","Hum Brain Mapp. 2019 Oct 15;40(15):4487-4507. doi: 10.1002/hbm.24716. Epub 2019 Jul 16.","Karrer TM","Hum Brain Mapp","2019","2019/07/18","PMC6865423","","10.1002/hbm.24716"
"30183631","Reliable Crowdsourcing and Deep Locality-Preserving Learning for Unconstrained Facial Expression Recognition","Li S, Deng W.","IEEE Trans Image Process. 2019 Jan;28(1):356-370. doi: 10.1109/TIP.2018.2868382. Epub 2018 Sep 3.","Li S","IEEE Trans Image Process","2019","2018/09/06","","","10.1109/TIP.2018.2868382"
"25823034","Robust representation and recognition of facial emotions using extreme sparse learning","Shojaeilangari S, Yau WY, Nandakumar K, Li J, Teoh EK.","IEEE Trans Image Process. 2015 Jul;24(7):2140-52. doi: 10.1109/TIP.2015.2416634. Epub 2015 Mar 25.","Shojaeilangari S","IEEE Trans Image Process","2015","2015/03/31","","","10.1109/TIP.2015.2416634"
"26712757","Classifier Subset Selection for the Stacked Generalization Method Applied to Emotion Recognition in Speech","Álvarez A, Sierra B, Arruti A, López-Gil JM, Garay-Vitoria N.","Sensors (Basel). 2015 Dec 25;16(1):21. doi: 10.3390/s16010021.","Álvarez A","Sensors (Basel)","2015","2015/12/30","PMC4732054","","10.3390/s16010021"
"27130172","Nonlinguistic vocalizations from online amateur videos for emotion research: A validated corpus","Anikin A, Persson T.","Behav Res Methods. 2017 Apr;49(2):758-771. doi: 10.3758/s13428-016-0736-y.","Anikin A","Behav Res Methods","2017","2016/05/01","","","10.3758/s13428-016-0736-y"
"32574806","Visual cortical regions show sufficient test-retest reliability while salience regions are unreliable during emotional face processing","McDermott TJ, Kirlic N, Akeman E, Touthang J, Cosgrove KT, DeVille DC, Clausen AN, White EJ, Kuplicki R, Aupperle RL.","Neuroimage. 2020 Oct 15;220:117077. doi: 10.1016/j.neuroimage.2020.117077. Epub 2020 Jun 20.","McDermott TJ","Neuroimage","2020","2020/06/24","PMC7875460","NIHMS1664857","10.1016/j.neuroimage.2020.117077"
"33737889","Pre-trained Deep Convolution Neural Network Model With Attention for Speech Emotion Recognition","Zhang H, Gou R, Shang J, Shen F, Wu Y, Dai G.","Front Physiol. 2021 Mar 2;12:643202. doi: 10.3389/fphys.2021.643202. eCollection 2021.","Zhang H","Front Physiol","2021","2021/03/19","PMC7962985","","10.3389/fphys.2021.643202"
"31026195","Lexical Influences on Errors in Masked Speech Perception in Younger, Middle-Aged, and Older Adults","Jesse A, Helfer KS.","J Speech Lang Hear Res. 2019 Apr 26;62(4S):1152-1166. doi: 10.1044/2018_JSLHR-H-ASCC7-18-0091.","Jesse A","J Speech Lang Hear Res","2019","2019/04/27","PMC6802874","","10.1044/2018_JSLHR-H-ASCC7-18-0091"
"25298928","The emotion recognition system based on autoregressive model and sequential forward feature selection of electroencephalogram signals","Hatamikia S, Maghooli K, Nasrabadi AM.","J Med Signals Sens. 2014 Jul;4(3):194-201.","Hatamikia S","J Med Signals Sens","2014","2014/10/10","PMC4187354","",""
"31888182","A Convolutional Neural Network for Compound Micro-Expression Recognition","Zhao Y, Xu J.","Sensors (Basel). 2019 Dec 16;19(24):5553. doi: 10.3390/s19245553.","Zhao Y","Sensors (Basel)","2019","2020/01/01","PMC6960609","","10.3390/s19245553"
"28504532","Orthography affects second language speech: Double letters and geminate production in English","Bassetti B.","J Exp Psychol Learn Mem Cogn. 2017 Nov;43(11):1835-1842. doi: 10.1037/xlm0000417. Epub 2017 May 15.","Bassetti B","J Exp Psychol Learn Mem Cogn","2017","2017/05/16","","","10.1037/xlm0000417"
"25879385","English word frequency and recognition in bilinguals: Inter-corpus comparison and error analysis","Shi LF.","Int J Audiol. 2015;54(10):674-81. doi: 10.3109/14992027.2015.1030509. Epub 2015 Apr 16.","Shi LF","Int J Audiol","2015","2015/04/17","","","10.3109/14992027.2015.1030509"
"25872210","Neutral face classification using personalized appearance models for fast and robust emotion detection","Chiranjeevi P, Gopalakrishnan V, Moogi P.","IEEE Trans Image Process. 2015 Sep;24(9):2701-11. doi: 10.1109/TIP.2015.2421437. Epub 2015 Apr 10.","Chiranjeevi P","IEEE Trans Image Process","2015","2015/04/15","","","10.1109/TIP.2015.2421437"
"21795375","Effect of prefiltering cutoff frequency and scatter and attenuation corrections during normal database creation for statistical imaging analysis of the brain","Onishi H, Matsutake Y, Matsutomo N, Kai Y, Amijima H.","J Nucl Med Technol. 2011 Sep;39(3):231-6. doi: 10.2967/jnmt.110.079871. Epub 2011 Jul 27.","Onishi H","J Nucl Med Technol","2011","2011/07/29","","","10.2967/jnmt.110.079871"
"28392772","The Tromso Infant Faces Database (TIF): Development, Validation and Application to Assess Parenting Experience on Clarity and Intensity Ratings","Maack JK, Bohne A, Nordahl D, Livsdatter L, Lindahl ÅA, Øvervoll M, Wang CE, Pfuhl G.","Front Psychol. 2017 Mar 24;8:409. doi: 10.3389/fpsyg.2017.00409. eCollection 2017.","Maack JK","Front Psychol","2017","2017/04/11","PMC5364182","","10.3389/fpsyg.2017.00409"
"30400224","Adaptive Data Boosting Technique for Robust Personalized Speech Emotion in Emotionally-Imbalanced Small-Sample Environments","Bang J, Hur T, Kim D, Huynh-The T, Lee J, Han Y, Banos O, Kim JI, Lee S.","Sensors (Basel). 2018 Nov 2;18(11):3744. doi: 10.3390/s18113744.","Bang J","Sensors (Basel)","2018","2018/11/08","PMC6264012","","10.3390/s18113744"
"27337513","How children use emotional prosody: Crossmodal emotional integration?","Gil S, Hattouti J, Laval V.","Dev Psychol. 2016 Jul;52(7):1064-72. doi: 10.1037/dev0000121.","Gil S","Dev Psychol","2016","2016/06/24","","","10.1037/dev0000121"
"33540831","Emotion Recognition Based on Skin Potential Signals with a Portable Wireless Device","Chen S, Jiang K, Hu H, Kuang H, Yang J, Luo J, Chen X, Li Y.","Sensors (Basel). 2021 Feb 2;21(3):1018. doi: 10.3390/s21031018.","Chen S","Sensors (Basel)","2021","2021/02/05","PMC7867357","","10.3390/s21031018"
"30518132","Driver's Facial Expression Recognition in Real-Time for Safe Driving","Jeong M, Ko BC.","Sensors (Basel). 2018 Dec 4;18(12):4270. doi: 10.3390/s18124270.","Jeong M","Sensors (Basel)","2018","2018/12/07","PMC6308562","","10.3390/s18124270"
"32105097","Using machine learning analyses to explore relations between eyewitness lineup looking behaviors and suspect guilt","Price HL, Bruer KC, Adkins MC.","Law Hum Behav. 2020 Jun;44(3):223-237. doi: 10.1037/lhb0000364. Epub 2020 Feb 27.","Price HL","Law Hum Behav","2020","2020/02/28","","","10.1037/lhb0000364"
"30024235","Emotion processing across and within species: A comparison between humans (Homo sapiens) and chimpanzees (Pan troglodytes)","Kret ME, Muramatsu A, Matsuzawa T.","J Comp Psychol. 2018 Nov;132(4):395-409. doi: 10.1037/com0000108. Epub 2018 Jul 19.","Kret ME","J Comp Psychol","2018","2018/07/20","","","10.1037/com0000108"
"25207869","The feature extraction based on texture image information for emotion sensing in speech","Wang KC.","Sensors (Basel). 2014 Sep 9;14(9):16692-714. doi: 10.3390/s140916692.","Wang KC","Sensors (Basel)","2014","2014/09/11","PMC4208194","","10.3390/s140916692"
"30346195","The Geneva Emotional Competence Test (GECo): An ability measure of workplace emotional intelligence","Schlegel K, Mortillaro M.","J Appl Psychol. 2019 Apr;104(4):559-580. doi: 10.1037/apl0000365. Epub 2018 Oct 22.","Schlegel K","J Appl Psychol","2019","2018/10/23","","","10.1037/apl0000365"
"27071475","Quantitative Machine Learning Analysis of Brain MRI Morphology throughout Aging","Shamir L, Long J.","Curr Aging Sci. 2016;9(4):310-317. doi: 10.2174/1874609809666160413113711.","Shamir L","Curr Aging Sci","2016","2016/04/14","","","10.2174/1874609809666160413113711"
"25594590","Time-frequency feature representation using multi-resolution texture analysis and acoustic activity detector for real-life speech emotion recognition","Wang KC.","Sensors (Basel). 2015 Jan 14;15(1):1458-78. doi: 10.3390/s150101458.","Wang KC","Sensors (Basel)","2015","2015/01/17","PMC4327087","","10.3390/s150101458"
"30808549","Mice carrying a humanized Foxp2 knock-in allele show region-specific shifts of striatal Foxp2 expression levels","Schreiweis C, Irinopoulou T, Vieth B, Laddada L, Oury F, Burguière E, Enard W, Groszer M.","Cortex. 2019 Sep;118:212-222. doi: 10.1016/j.cortex.2019.01.008. Epub 2019 Jan 30.","Schreiweis C","Cortex","2019","2019/02/28","","","10.1016/j.cortex.2019.01.008"
"33087548","Psychological outcomes of low-dose CT lung cancer screening in a multisite demonstration screening pilot: the Lung Screen Uptake Trial (LSUT)","Kummer S, Waller J, Ruparel M, Duffy SW, Janes SM, Quaife SL.","Thorax. 2020 Dec;75(12):1065-1073. doi: 10.1136/thoraxjnl-2020-215054. Epub 2020 Oct 21.","Kummer S","Thorax","2020","2020/10/22","PMC7677470","","10.1136/thoraxjnl-2020-215054"
"28475049","Towards Reaching Human Performance in Pedestrian Detection","Zhang S, Benenson R, Omran M, Hosang J, Schiele B.","IEEE Trans Pattern Anal Mach Intell. 2018 Apr;40(4):973-986. doi: 10.1109/TPAMI.2017.2700460. Epub 2017 May 2.","Zhang S","IEEE Trans Pattern Anal Mach Intell","2018","2017/05/06","","","10.1109/TPAMI.2017.2700460"
"22539230","Recognizing vocal emotions in Mandarin Chinese: a validated database of Chinese vocal emotional stimuli","Liu P, Pell MD.","Behav Res Methods. 2012 Dec;44(4):1042-51. doi: 10.3758/s13428-012-0203-3.","Liu P","Behav Res Methods","2012","2012/04/28","","","10.3758/s13428-012-0203-3"
"27808550","Phonological-orthographic consistency for Japanese words and its impact on visual and auditory word recognition","Hino Y, Kusunose Y, Miyamura S, Lupker SJ.","J Exp Psychol Hum Percept Perform. 2017 Jan;43(1):126-146. doi: 10.1037/xhp0000281. Epub 2016 Nov 3.","Hino Y","J Exp Psychol Hum Percept Perform","2017","2016/11/04","","","10.1037/xhp0000281"
"34001321","A machine learning perspective on the emotional content of Parkinsonian speech","Sechidis K, Fusaroli R, Orozco-Arroyave JR, Wolf D, Zhang YP.","Artif Intell Med. 2021 May;115:102061. doi: 10.1016/j.artmed.2021.102061. Epub 2021 Apr 1.","Sechidis K","Artif Intell Med","2021","2021/05/18","","","10.1016/j.artmed.2021.102061"
"27078744","Negative emotion boosts quality of visual working memory representation","Xie W, Zhang W.","Emotion. 2016 Aug;16(5):760-74. doi: 10.1037/emo0000159. Epub 2016 Apr 14.","Xie W","Emotion","2016","2016/04/15","","","10.1037/emo0000159"
"24266795","Emotional prosody and diffusion tensor imaging in children after traumatic brain injury","Schmidt AT, Hanten G, Li X, Wilde EA, Ibarra AP, Chu ZD, Helbling AR, Shah S, Levin HS.","Brain Inj. 2013;27(13-14):1528-35. doi: 10.3109/02699052.2013.828851.","Schmidt AT","Brain Inj","2013","2013/11/26","","","10.3109/02699052.2013.828851"
"26558301","Acoustic analysis of speech under stress","Sondhi S, Khan M, Vijay R, Salhan AK, Chouhan S.","Int J Bioinform Res Appl. 2015;11(5):417-32. doi: 10.1504/ijbra.2015.071942.","Sondhi S","Int J Bioinform Res Appl","2015","2015/11/13","","","10.1504/ijbra.2015.071942"
"26540689","Micro-Expression Recognition Using Color Spaces","Wang SJ, Yan WJ, Li X, Zhao G, Zhou CG, Fu X, Yang M, Tao J.","IEEE Trans Image Process. 2015 Dec;24(12):6034-47. doi: 10.1109/TIP.2015.2496314. Epub 2015 Oct 30.","Wang SJ","IEEE Trans Image Process","2015","2015/11/06","","","10.1109/TIP.2015.2496314"
"29218829","Intraclass correlation: Improved modeling approaches and applications for neuroimaging","Chen G, Taylor PA, Haller SP, Kircanski K, Stoddard J, Pine DS, Leibenluft E, Brotman MA, Cox RW.","Hum Brain Mapp. 2018 Mar;39(3):1187-1206. doi: 10.1002/hbm.23909. Epub 2017 Dec 7.","Chen G","Hum Brain Mapp","2018","2017/12/09","PMC5807222","NIHMS924328","10.1002/hbm.23909"
"32837250","Emotional sounds of crowds: spectrogram-based analysis using deep learning","Franzoni V, Biondi G, Milani A.","Multimed Tools Appl. 2020 Aug 17:1-13. doi: 10.1007/s11042-020-09428-x. Online ahead of print.","Franzoni V","Multimed Tools Appl","2020","2020/08/25","PMC7429201","","10.1007/s11042-020-09428-x"
"32904519","Explainable end-to-end deep learning for diabetic retinopathy detection across multiple datasets","Chetoui M, Akhloufi MA.","J Med Imaging (Bellingham). 2020 Jul;7(4):044503. doi: 10.1117/1.JMI.7.4.044503. Epub 2020 Aug 28.","Chetoui M","J Med Imaging (Bellingham)","2020","2020/09/09","PMC7456641","","10.1117/1.JMI.7.4.044503"
"20299717","Age-invariant face recognition","Park U, Tong Y, Jain AK.","IEEE Trans Pattern Anal Mach Intell. 2010 May;32(5):947-54. doi: 10.1109/TPAMI.2010.14.","Park U","IEEE Trans Pattern Anal Mach Intell","2010","2010/03/20","","","10.1109/TPAMI.2010.14"
"31039182","The affective processing of loved familiar faces and names: Integrating fMRI and heart rate","Vila J, Morato C, Lucas I, Guerra P, Castro-Laguardia AM, Bobes MA.","PLoS One. 2019 Apr 30;14(4):e0216057. doi: 10.1371/journal.pone.0216057. eCollection 2019.","Vila J","PLoS One","2019","2019/05/01","PMC6490893","","10.1371/journal.pone.0216057"
"31622450","Deep learning based banana plant detection and counting using high-resolution red-green-blue (RGB) images collected from unmanned aerial vehicle (UAV)","Neupane B, Horanont T, Hung ND.","PLoS One. 2019 Oct 17;14(10):e0223906. doi: 10.1371/journal.pone.0223906. eCollection 2019.","Neupane B","PLoS One","2019","2019/10/18","PMC6797093","","10.1371/journal.pone.0223906"
"22499797","Finding and feeling the musical beat: striatal dissociations between detection and prediction of regularity","Grahn JA, Rowe JB.","Cereb Cortex. 2013 Apr;23(4):913-21. doi: 10.1093/cercor/bhs083. Epub 2012 Apr 11.","Grahn JA","Cereb Cortex","2013","2012/04/14","PMC3593578","","10.1093/cercor/bhs083"
"33501109","Introducing ACASS: An Annotated Character Animation Stimulus Set for Controlled (e)Motion Perception Studies","Lammers S, Bente G, Tepest R, Jording M, Roth D, Vogeley K.","Front Robot AI. 2019 Sep 27;6:94. doi: 10.3389/frobt.2019.00094. eCollection 2019.","Lammers S","Front Robot AI","2019","2021/01/27","PMC7805965","","10.3389/frobt.2019.00094"
"22006275","Automatic detection of pectoral muscle using average gradient and shape based feature","Chakraborty J, Mukhopadhyay S, Singla V, Khandelwal N, Bhattacharyya P.","J Digit Imaging. 2012 Jun;25(3):387-99. doi: 10.1007/s10278-011-9421-y.","Chakraborty J","J Digit Imaging","2012","2011/10/19","PMC3348984","","10.1007/s10278-011-9421-y"
"30441461","EmoSense: Automatically Sensing Emotions From Speech By Multi-way Classification","Reddy VR, Viraraghavan VS.","Annu Int Conf IEEE Eng Med Biol Soc. 2018 Jul;2018:4987-4990. doi: 10.1109/EMBC.2018.8513220.","Reddy VR","Annu Int Conf IEEE Eng Med Biol Soc","2018","2018/11/17","","","10.1109/EMBC.2018.8513220"
"26184214","Nonintrusive Finger-Vein Recognition System Using NIR Image Sensor and Accuracy Analyses According to Various Factors","Pham TD, Park YH, Nguyen DT, Kwon SY, Park KR.","Sensors (Basel). 2015 Jul 13;15(7):16866-94. doi: 10.3390/s150716866.","Pham TD","Sensors (Basel)","2015","2015/07/18","PMC4541912","","10.3390/s150716866"
"29402678","The Galician Beverage Picture Set (GBPS): A standardized database of alcohol and non-alcohol images","López-Caneda E, Carbia C.","Drug Alcohol Depend. 2018 Mar 1;184:42-47. doi: 10.1016/j.drugalcdep.2017.11.022. Epub 2018 Feb 6.","López-Caneda E","Drug Alcohol Depend","2018","2018/02/07","","","10.1016/j.drugalcdep.2017.11.022"
"34014749","Development and validation of the Yonsei-Cambridge Mindreading Face Battery for assessing complex emotion recognition","Chung ES, Chung KM.","Psychol Assess. 2021 May 20. doi: 10.1037/pas0001025. Online ahead of print.","Chung ES","Psychol Assess","2021","2021/05/20","","","10.1037/pas0001025"
"33765481","Development of a deep learning-based image quality control system to detect and filter out ineligible slit-lamp images: A multicenter study","Li Z, Jiang J, Chen K, Zheng Q, Liu X, Weng H, Wu S, Chen W.","Comput Methods Programs Biomed. 2021 May;203:106048. doi: 10.1016/j.cmpb.2021.106048. Epub 2021 Mar 17.","Li Z","Comput Methods Programs Biomed","2021","2021/03/25","","","10.1016/j.cmpb.2021.106048"
"23366898","Medical image restoration with different types of noise","Sánchez MG, Vidal V, Verdú G, Mayo P, Rodenas F.","Annu Int Conf IEEE Eng Med Biol Soc. 2012;2012:4382-5. doi: 10.1109/EMBC.2012.6346937.","Sánchez MG","Annu Int Conf IEEE Eng Med Biol Soc","2012","2013/02/01","","","10.1109/EMBC.2012.6346937"
"24587738","Voice quality modelling for expressive speech synthesis","Monzo C, Iriondo I, Socoró JC.","ScientificWorldJournal. 2014 Jan 22;2014:627189. doi: 10.1155/2014/627189. eCollection 2014.","Monzo C","ScientificWorldJournal","2014","2014/03/04","PMC3920859","","10.1155/2014/627189"
"32896635","Segregation, connectivity, and gradients of deactivation in neural correlates of evidence in social decision making","Viviani R, Dommes L, Bosch JE, Labek K.","Neuroimage. 2020 Dec;223:117339. doi: 10.1016/j.neuroimage.2020.117339. Epub 2020 Sep 5.","Viviani R","Neuroimage","2020","2020/09/08","","","10.1016/j.neuroimage.2020.117339"
"28080086","Attentional capture by taboo words: A functional view of auditory distraction","Röer JP, Körner U, Buchner A, Bell R.","Emotion. 2017 Jun;17(4):740-750. doi: 10.1037/emo0000274. Epub 2017 Jan 12.","Röer JP","Emotion","2017","2017/01/13","","","10.1037/emo0000274"
"32474079","Evolution of brain-wide activity in the awake behaving mouse after acute fear by longitudinal manganese-enhanced MRI","Uselman TW, Barto DR, Jacobs RE, Bearer EL.","Neuroimage. 2020 Nov 15;222:116975. doi: 10.1016/j.neuroimage.2020.116975. Epub 2020 May 28.","Uselman TW","Neuroimage","2020","2020/06/01","PMC7805483","NIHMS1616381","10.1016/j.neuroimage.2020.116975"
"21844845","Pectoral muscle identification in mammograms","Camilus KS, Govindan VK, Sathidevi PS.","J Appl Clin Med Phys. 2011 Mar 3;12(3):3285. doi: 10.1120/jacmp.v12i3.3285.","Camilus KS","J Appl Clin Med Phys","2011","2011/08/17","PMC5718641","","10.1120/jacmp.v12i3.3285"
"27819448","Emotions are understood from biological motion across remote cultures","Parkinson C, Walker TT, Memmi S, Wheatley T.","Emotion. 2017 Apr;17(3):459-477. doi: 10.1037/emo0000194. Epub 2016 Nov 7.","Parkinson C","Emotion","2017","2016/11/08","","","10.1037/emo0000194"
"30416473","Human Observers and Automated Assessment of Dynamic Emotional Facial Expressions: KDEF-dyn Database Validation","Calvo MG, Fernández-Martín A, Recio G, Lundqvist D.","Front Psychol. 2018 Oct 26;9:2052. doi: 10.3389/fpsyg.2018.02052. eCollection 2018.","Calvo MG","Front Psychol","2018","2018/11/13","PMC6212581","","10.3389/fpsyg.2018.02052"
"27563724","Strength Is in Numbers: Can Concordant Artificial Listeners Improve Prediction of Emotion from Speech?","Martinelli E, Mencattini A, Daprati E, Di Natale C.","PLoS One. 2016 Aug 26;11(8):e0161752. doi: 10.1371/journal.pone.0161752. eCollection 2016.","Martinelli E","PLoS One","2016","2016/08/27","PMC5001724","","10.1371/journal.pone.0161752"
"12597194","Effects of disfluencies, predictability, and utterance position on word form variation in English conversation","Bell A, Jurafsky D, Fosler-Lussier E, Girand C, Gregory M, Gildea D.","J Acoust Soc Am. 2003 Feb;113(2):1001-24. doi: 10.1121/1.1534836.","Bell A","J Acoust Soc Am","2003","2003/02/25","","","10.1121/1.1534836"
"33639830","Classifying the emotional speech content of participants in group meetings using convolutional long short-term memory network","Morgan MM, Bhattacharya I, Radke RJ, Braasch J.","J Acoust Soc Am. 2021 Feb;149(2):885. doi: 10.1121/10.0003433.","Morgan MM","J Acoust Soc Am","2021","2021/02/28","","","10.1121/10.0003433"
"31368746","Laterality and (in)visibility in emotional face perception: Manipulations in spatial frequency content","Hausmann M, Innes BR, Birch YK, Kentridge RW.","Emotion. 2021 Feb;21(1):175-183. doi: 10.1037/emo0000648. Epub 2019 Aug 1.","Hausmann M","Emotion","2021","2019/08/02","","","10.1037/emo0000648"
"30281437","A Novel Geometric Framework on Gram Matrix Trajectories for Human Behavior Understanding","Kacem A, Daoudi M, Amor BB, Berretti S, Alvarez-Paiva JC.","IEEE Trans Pattern Anal Mach Intell. 2020 Jan;42(1):1-14. doi: 10.1109/TPAMI.2018.2872564. Epub 2018 Sep 28.","Kacem A","IEEE Trans Pattern Anal Mach Intell","2020","2018/10/04","","","10.1109/TPAMI.2018.2872564"
"27787229","Imaging of striatal injury in a songbird brain","Lukacova K, Baciak L, Pavukova E, Pichova K, Kasparova S, Kubikova L.","Gen Physiol Biophys. 2017 Jan;36(1):23-29. doi: 10.4149/gpb_2016025. Epub 2016 Nov 30.","Lukacova K","Gen Physiol Biophys","2017","2016/10/28","","","10.4149/gpb_2016025"
"32893918","Automated design for recognition of blood cells diseases from hematopathology using classical features selection and ELM","Khan MA, Qasim M, Lodhi HMJ, Nazir M, Javed K, Rubab S, Din A, Habib U.","Microsc Res Tech. 2021 Feb;84(2):202-216. doi: 10.1002/jemt.23578. Epub 2020 Sep 7.","Khan MA","Microsc Res Tech","2021","2020/09/07","","","10.1002/jemt.23578"
"23366336","Speech analysis for mood state characterization in bipolar patients","Vanello N, Guidi A, Gentili C, Werner S, Bertschy G, Valenza G, Lanata A, Scilingo EP.","Annu Int Conf IEEE Eng Med Biol Soc. 2012;2012:2104-7. doi: 10.1109/EMBC.2012.6346375.","Vanello N","Annu Int Conf IEEE Eng Med Biol Soc","2012","2013/02/01","","","10.1109/EMBC.2012.6346375"
